Country.Name,Country.ISO,Series.Name,Series.Year,Indicator,Sex,Series.Type,Series.Category,Data.Collection.Method,Model.Life.Table,Years.Preceding.the.Survey or Time.Since.First.Birth or Age.Group.of.Women,Interval,Reference.Date,Estimates,Standard.Error.of.Estimates,Indirect.method.based.on.TSFB,Method.based.on.Age.Group.of.Women,Inclusion,Adjustment,DataCatalogID
Afghanistan,AFG,Multiple Indicator Cluster Survey,2022-2023,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,,5,"2019,5","55,13","7,47",,,0,,9218
Afghanistan,AFG,Multiple Indicator Cluster Survey,2022-2023,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,,5,"2014,5","50,65","9,51",,,0,,9218
Afghanistan,AFG,Multiple Indicator Cluster Survey,2022-2023,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,,5,"2009,5","64,39","12,64",,,0,,9218
Afghanistan,AFG,Multiple Indicator Cluster Survey,2022-2023,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,,5,"2004,5","96,45","21,13",,,0,,9218
Afghanistan,AFG,Multiple Indicator Cluster Survey,2022-2023,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,,5,"1999,5","142,95","17,25",,,0,,9218
Afghanistan,AFG,Multiple Indicator Cluster Survey (NN adjusted),2022-2023,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,,5,"2019,5","72,23",,,,1,NN adjustment,9218
Afghanistan,AFG,Multiple Indicator Cluster Survey (NN adjusted),2022-2023,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,,5,"2014,5","68,81",,,,1,NN adjustment,9218
Afghanistan,AFG,Multiple Indicator Cluster Survey (NN adjusted),2022-2023,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,,5,"2009,5","84,29",,,,1,NN adjustment,9218
Afghanistan,AFG,Multiple Indicator Cluster Survey (NN adjusted),2022-2023,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,,5,"2004,5","117,08",,,,1,NN adjustment,9218
Afghanistan,AFG,Multiple Indicator Cluster Survey (NN adjusted),2022-2023,Under-five Mortality Rate,Total,Direct,MICS,Full Birth Histories,,,5,"1999,5","179,65",,,,1,NN adjustment,9218
Afghanistan,AFG,Afghanistan Health Survey,2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2015,5","45,90","10,40",,,0,,7734
Afghanistan,AFG,Afghanistan Health Survey,2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2010,5","55,10","14,10",,,0,,7734
Afghanistan,AFG,Afghanistan Health Survey,2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2005,5","70,50","11,30",,,0,,7734
Afghanistan,AFG,Afghanistan Health Survey,2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2000,5","102,70","15,50",,,0,,7734
Afghanistan,AFG,Afghanistan Health Survey,2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"1995,5","145,50","30,00",,,0,,7734
Afghanistan,AFG,Afghanistan Health Survey (NN adjusted),2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2015,5","60,83",,,,1,NN adjustment,7734
Afghanistan,AFG,Afghanistan Health Survey (NN adjusted),2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2010,5","76,44",,,,1,NN adjustment,7734
Afghanistan,AFG,Afghanistan Health Survey (NN adjusted),2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2005,5","87,24",,,,1,NN adjustment,7734
Afghanistan,AFG,Afghanistan Health Survey (NN adjusted),2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"2000,5","122,86",,,,1,NN adjustment,7734
Afghanistan,AFG,Afghanistan Health Survey (NN adjusted),2018,Under-five Mortality Rate,Total,Direct,Others,Full Birth Histories,,,5,"1995,5","164,79",,,,1,NN adjustment,7734
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,1,"2014,5","52,54","4,60",,,0,,5689
Afghanistan,AFG,Demographic and Health Survey,2015,Under-five Mortality Rate,Total,Direct,DHS,Full Birth Histories,,,3,"2012,5","53,46","4,51",,,0,,5689
