Country.Name;Country.ISO;Series.Name;Series.Year;Indicator;Sex;Series.Type;Series.Category;Data.Collection.Method;Model.Life.Table;Age.Group.of.Women.or.Time.Since.First.Birth;Interval;Reference.Date;Wealth.Quintile;Estimates;Standard.Error.of.Estimates;Indirect.method.based.on.TSFB;Method.based.on.Age.Group.of.Women;Inclusion;DataCatalogID
Afghanistan;AFG;Demographic and Health Survey;2015;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;1;67,676738;5,520356;0;0;1;5689
Afghanistan;AFG;Demographic and Health Survey;2015;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;2;57,560142;4,749536;0;0;1;5689
Afghanistan;AFG;Demographic and Health Survey;2015;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;3;60,129797;8,208829;0;0;1;5689
Afghanistan;AFG;Demographic and Health Survey;2015;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;4;43,695005;4,771695;0;0;1;5689
Afghanistan;AFG;Demographic and Health Survey;2015;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2012,5;5;40,228168;7,586822;0;0;1;5689
Afghanistan;AFG;Mortality Survey (AMS) Excluding South Zone;2010;Under-five Mortality Rate;Total;Direct;Special DHS;Full Birth Histories;;;5;2007,5;1;101,268184;5,672606;0;0;1;5045
Afghanistan;AFG;Mortality Survey (AMS) Excluding South Zone;2010;Under-five Mortality Rate;Total;Direct;Special DHS;Full Birth Histories;;;5;2007,5;2;74,863069;5,155374;0;0;1;5045
Afghanistan;AFG;Mortality Survey (AMS) Excluding South Zone;2010;Under-five Mortality Rate;Total;Direct;Special DHS;Full Birth Histories;;;5;2007,5;3;69,022978;5,326268;0;0;1;5045
Afghanistan;AFG;Mortality Survey (AMS) Excluding South Zone;2010;Under-five Mortality Rate;Total;Direct;Special DHS;Full Birth Histories;;;5;2007,5;4;46,666148;3,603062;0;0;1;5045
Afghanistan;AFG;Mortality Survey (AMS) Excluding South Zone;2010;Under-five Mortality Rate;Total;Direct;Special DHS;Full Birth Histories;;;5;2007,5;5;45,781321;2,826517;0;0;1;5045
Afghanistan;AFG;Multiple Indicator Cluster Survey;2022-2023;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2019,5;1;59,619811209186;3,451106930764;0;0;1;9218
Afghanistan;AFG;Multiple Indicator Cluster Survey;2022-2023;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2019,5;2;62,262906740821;3,444665835695;0;0;1;9218
Afghanistan;AFG;Multiple Indicator Cluster Survey;2022-2023;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2019,5;3;58,783404103011;3,380680662418;0;0;1;9218
Afghanistan;AFG;Multiple Indicator Cluster Survey;2022-2023;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2019,5;4;54,400146487737;3,64519603073;0;0;1;9218
Afghanistan;AFG;Multiple Indicator Cluster Survey;2022-2023;Under-five Mortality Rate;Total;Direct;MICS;Full Birth Histories;;;5;2019,5;5;40,512438322662;4,441800691752;0;0;1;9218
Afghanistan;AFG;Multiple Indicator Cluster Survey;2010-2011;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD West;5-9;5;2006,617184;1;104,183406;12,203348;1;0;1;4983
Afghanistan;AFG;Multiple Indicator Cluster Survey;2010-2011;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD West;5-9;5;2006,617184;2;99,260847;10,784556;1;0;1;4983
Afghanistan;AFG;Multiple Indicator Cluster Survey;2010-2011;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD West;5-9;5;2006,617184;3;122,510387;13,706785;1;0;1;4983
Afghanistan;AFG;Multiple Indicator Cluster Survey;2010-2011;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD West;5-9;5;2006,617184;4;109,967139;22,833588;1;0;1;4983
Afghanistan;AFG;Multiple Indicator Cluster Survey;2010-2011;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD West;5-9;5;2006,617184;5;76,261766;10,795095;1;0;1;4983
Albania;ALB;Demographic and Health Survey;2017-2018;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2014,5;1;20,651766;9,178045;0;0;1;7474
Albania;ALB;Demographic and Health Survey;2017-2018;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2014,5;2;2,481798;2,485991;0;0;1;7474
Albania;ALB;Demographic and Health Survey;2017-2018;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2014,5;3;3,172237;2,350962;0;0;1;7474
Albania;ALB;Demographic and Health Survey;2017-2018;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2014,5;4;5,584644;5,68166;0;0;1;7474
Albania;ALB;Demographic and Health Survey;2008-2009;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2005,5;1;21,908415;5,380074;0;0;1;4483
Albania;ALB;Demographic and Health Survey;2008-2009;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2005,5;2;11,948768;6,084307;0;0;1;4483
Albania;ALB;Demographic and Health Survey;2008-2009;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2005,5;3;34,106928;11,164125;0;0;1;4483
Albania;ALB;Demographic and Health Survey;2008-2009;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2005,5;4;25,005938;10,710748;0;0;1;4483
Albania;ALB;Demographic and Health Survey;2008-2009;Under-five Mortality Rate;Total;Direct;DHS;Full Birth Histories;;;5;2005,5;5;11,015485;5,99925;0;0;1;4483
Albania;ALB;Multiple Indicator Cluster Survey;2005;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;2000,917987;1;17,878942;10,549038;1;0;1;1906
Albania;ALB;Multiple Indicator Cluster Survey;2005;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;2000,917987;2;24,692567;15,115872;1;0;1;1906
Albania;ALB;Multiple Indicator Cluster Survey;2005;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;2000,917987;3;11,430352;6,606869;1;0;1;1906
Albania;ALB;Multiple Indicator Cluster Survey;2005;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;2000,917987;4;17,889038;9,229234;1;0;1;1906
Albania;ALB;Multiple Indicator Cluster Survey;2005;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;2000,917987;5;13,539685;7,980283;1;0;1;1906
Albania;ALB;Multiple Indicator Cluster Survey;2000;Under-five Mortality Rate;Total;Indirect;MICS;Summary Birth Histories;CD East;5-9;5;1995,331226;1;40,309195;12,439081;1;0;1;1943
